CPU Utilization,Response Time,Class Name
18.273,1,'High'
21.091,1,'High'
19.6,1,'High'
17,1.182,'High'
25.9,1,'Low'
18.364,1,'High'
69.273,1,'Very Low'
100,1,'Very Low'
92.727,1,'Very Low'
48,1,'Low'
58.6,1,'Very Low'
79.273,1,'Very Low'
41.1,1,'Low'
52.818,1,'Very Low'
56.909,1,'Very Low'
52.6,1,'Very Low'
24.818,1,'High'
18.6,1,'High'
17.909,1,'High'
25.364,1,'Low'
18.2,1,'High'
17.909,1,'High'
18.636,1,'High'
24,1,'High'
18.455,1.091,'High'
23.091,1,'High'
18.3,1,'High'
26.182,1,'Low'
17.7,1,'High'
18.182,1,'High'
22.091,1,'High'
17.9,1,'High'
18.455,1,'High'
33.4,1,'Low'
49.818,1,'Low'
26.909,1,'Low'
32.4,1,'Low'
50.636,1,'Very Low'
42.7,1,'Low'
28.636,1,'Low'
31.9,1.2,'Low'
22.727,1,'High'
19.727,1,'High'
17.9,1,'High'
17.636,1,'High'
16.909,1,'High'
21.8,1,'High'
19,1,'High'
21.091,1,'High'
23.7,1,'High'
24.545,1,'High'
18.2,1,'High'
65.909,1,'Very Low'
56.1,1,'Very Low'
72.273,1,'Very Low'
89.182,1,'Very Low'
87.7,1,'Very Low'
81.727,1,'Very Low'
87.7,1.6,'Very Low'
89.909,1,'Very Low'
61.6,1,'Very Low'
53,1,'Very Low'
50.1,1,'Very Low'
42.182,1.091,'Low'
35.6,1,'Low'
25.455,1,'Low'
19.636,1,'High'
18.5,1,'High'
18.727,1,'High'
18.455,1.182,'High'
17.6,1.1,'High'
18.182,1,'High'
20.364,1,'High'
22.8,1,'High'
19.091,1,'High'
18.3,1,'High'
18.091,1,'High'
19.364,1,'High'
19.8,1,'High'
18.182,1,'High'
59.364,1,'Very Low'
76.8,1,'Very Low'
84,1,'Very Low'
54.3,1,'Very Low'
37.182,1,'Low'
42.818,1.091,'Low'
40.3,1.2,'Low'
88.636,1,'Very Low'
46.1,1,'Low'
26.909,1,'Low'
19.4,1,'High'
17.273,1,'High'
17,1,'High'
17.182,1,'High'
16,1,'High'
19,1,'High'
18.364,1,'High'
22.364,1.091,'High'
20.9,1,'High'
17.273,1,'High'
19.727,1,'High'
19.5,1,'High'
32.455,1,'Low'
